code,cx,cy,areaName,VeryBadHealth,BadHealth,FairHealth,GoodHealth,VeryGoodHealth,H>15,H16_30,H31_48,H<49
E06000001,448118.7275978674,530657.3446845404,Hartlepool,1.9,6.0,15.6,33.7,42.8,3441,8521,22207,3580
E06000002,450379.0735207843,516654.585419854,Middlesbrough,1.9,6.1,14.9,33.3,43.8,5683,13341,32556,4854
E06000003,463380.2664554495,518021.3519882528,Redcar and Cleveland,1.7,5.4,14.9,34.0,44.1,5232,12768,31940,5681
E06000004,443483.59308801737,518783.4270320805,Stockton-on-Tees,1.5,4.9,14.2,33.7,45.7,7625,18060,52004,8754
E06000005,429036.107679077,517146.77261557773,Darlington,1.2,4.5,14.0,34.8,45.5,4185,9823,30500,4788
E06000006,352162.14452784206,383229.99504771805,Halton,1.9,6.0,14.4,32.5,45.2,4613,11055,37863,5175
E06000007,362661.794478233,389220.3952869668,Warrington,1.1,3.9,12.2,32.8,50.0,9162,18826,65546,9657
E06000008,369252.11192719266,421849.7782968344,Blackburn with Darwen,1.9,5.9,15.2,33.5,43.6,5863,14711,38715,4268
E06000009,331922.5792282728,436184.73923576495,Blackpool,2.1,6.7,16.6,33.7,40.9,6223,13422,34638,5079
E06000010,509762.303925464,430585.4529306488,Kingston upon Hull,1.8,5.9,16.5,35.5,40.3,9459,25233,73103,9994
E06000011,499910.2996596821,442367.3327923528,East Riding of Yorkshire,1.1,3.5,12.5,34.5,48.4,15938,32189,87911,20082
E06000012,523754.98072170274,406875.42958194285,North East Lincolnshire,1.4,4.9,15.2,35.4,43.1,6588,15233,38913,8115
E06000013,493268.70133201225,411780.4096237311,North Lincolnshire,1.2,4.5,14.5,35.9,43.9,7082,15120,45246,8775
E06000014,461736.2349148897,451799.83040380967,York,0.9,3.4,12.2,35.0,48.5,12037,20634,54704,8823
E06000015,435852.80534767295,335170.6737131184,Derby,1.5,4.9,14.9,35.5,43.2,10896,24135,72096,9074
E06000016,459134.33927755296,304861.1397061943,Leicester,1.6,5.2,15.6,34.7,42.8,16608,36736,92168,9422
E06000017,491121.0213367455,307845.4999054839,Rutland,0.6,2.6,10.7,33.6,52.6,2177,3548,10061,2997
E06000018,455452.2951689613,340742.15591101954,Nottingham,2.0,6.0,16.1,34.2,41.7,15071,27835,76165,9796
E06000019,349035.38778511673,245285.42313513483,Herefordshire,1.0,3.6,12.3,34.3,48.7,9839,18783,47742,12147
E06000020,367109.3595971868,314837.4536089469,Telford and Wrekin,1.5,5.0,14.6,34.7,44.2,7164,15467,54198,8668
E06000021,389016.57091497513,346719.5491718128,Stoke-on-Trent,1.9,6.1,15.9,35.9,40.2,9224,22985,70790,9581
E06000022,367056.477436553,161999.73328473538,Bath and North East Somerset,0.9,3.2,11.3,33.1,51.4,12067,18817,49585,9343
E06000023,346536.53704290406,172914.33969592646,Bristol,1.5,4.8,13.6,33.5,46.7,24727,46279,147056,20448
